0 3
1 4.29367316756
2 6.14095968569
3 8.77435465263
4 12.5194145245
5 17.8273256217
6 25.31407672
7 35.802440755
8 50.356333187
9 70.285856549
10 97.0851885246
11 132.250336291
12 176.926625071
13 231.386714046
14 294.46392918
15 363.220164263
16 433.17380051
17 499.18709816
18 556.692783354
19 602.680628144
20 636.038413099
21 657.266922572
22 667.881894635
23 669.822902
24 665.034419427
25 655.238779927
26 641.853343662
27 625.990723403
28 608.497631934
29 590.0050075
30 570.97591504
31 551.746554507
32 532.558535271
33 513.583674043
34 494.942620997
35 476.718600568
36 458.967419328
37 441.725011066
38 425.012694736
39 408.841113789
40 393.213172689
41 378.126090394
42 363.573203638
43 349.544774757
44 336.029065043
45 323.012958835
46 310.482407843
47 298.422788034
48 286.819182827
49 275.656565152
50 264.919951138
51 254.594590279
52 244.66585657
53 235.11949253
54 225.941532794
55 217.118418965
56 208.636953236
57 200.484358403
58 192.648241938
59 185.116625336
60 177.877933016
61 170.920976899
62 164.234962006
63 157.809513081
64 151.634637691
65 145.70062253
66 139.998170995
67 134.518371065
68 129.252575296
69 124.192454477
70 119.330060267
71 114.657751575
72 110.168089773
73 105.853975239
74 101.708578722
75 97.7253071327
76 93.897865541
77 90.2201732912
78 86.6863735464
79 83.2908748149
80 80.0282628768
81 76.893344657
82 73.8811574902
83 70.9868731935
84 68.205900625
85 65.5338240825
86 62.9663707296
87 60.4994535295
88 58.1291431555
89 55.851669042
90 53.6634017622
91 51.5608353966
92 49.540596174
93 47.5994842677
94 45.7344050968
95 43.9423798763
96 42.2205506515
97 40.5661722978
98 38.9766029057
99 37.4493029325
100 35.9818375239
